Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,403.510036,406.280006,403.490009,404.999977,44915500,54.347115
2011-12-29,403.399994,405.650005,400.509968,405.120033,53994500,54.363225
2011-12-28,406.88998,408.250011,401.340027,402.640003,57165500,54.030429
2011-12-27,403.09996,409.090004,403.020039,406.529972,66269000,54.552426
2011-12-23,399.690002,403.589958,399.489998,403.329979,67349800,54.123017
2011-12-22,397.000034,399.12999,396.09996,398.549976,50589700,53.481587
2011-12-21,396.689987,397.299988,392.010014,396.449982,65737000,53.199787
2011-12-20,387.760036,396.09996,387.260025,395.950024,84303800,53.132698
2011-12-19,382.469982,384.849983,380.48003,382.210003,58882600,51.288919
2011-12-16,380.359974,384.149994,379.570023,381.020016,105369600,51.129234
2011-12-15,383.330002,383.739998,378.31002,378.940022,64050000,50.850119
2011-12-14,386.700012,387.380001,377.680019,380.19001,101721900,51.017855
2011-12-13,393.000023,395.399971,387.099995,388.81002,84732200,52.174578
2011-12-12,391.680019,393.900017,389.449982,391.83997,75266800,52.581168
2011-12-09,392.850006,394.04002,391.030018,393.62001,74248300,52.820032
2011-12-08,391.450001,395.50,390.229973,390.659996,94089100,52.422827
2011-12-07,389.930019,390.940002,386.760014,389.090027,76186600,52.212152
2011-12-06,392.510025,394.629967,389.379967,390.949989,70899500,52.461741
2011-12-05,393.490021,396.410007,390.390003,393.010036,89302500,52.73818
2011-12-02,389.82999,393.630024,388.580002,389.700001,94763900,52.294005
2011-12-01,382.539997,389.000011,380.750023,387.93,96795300,52.056488
